Time (ms), Brightness (AU)
5,260
11,322
17,500
24,563
30,474
37,430
44,496
51,578
57,554
63,489
70,448
76,571
83,609
90,546
96,492
103,542
109,610
116,589
122,519
130,545
136,615
143,626
149,539
156,537
162,618
168,642
176,558
182,516
189,620
198,573
207,633
217,534
226,649
235,594
244,602
254,633
264,554
273,650
282,571
291,627
301,628
310,569
320,647
329,529
338,656
348,612
357,580
366,638
375,535
386,651
395,578
404,586
413,622
422,536
432,640
441,499
451,590
460,598
470,534
479,623
488,493
497,591
506,548
517,526
526,601
535,482
544,589
553,446
563,516
572,562
582,469
591,589
601,432
610,504
619,498
628,452
637,565
647,415
657,490
666,384
675,438
685,524
694,400
703,480
712,369
722,426
732,471
741,391
750,484
759,361
769,425
778,389
788,389
797,506
806,363
816,435
825,344
834,400
843,499
854,375
863,463
872,357
881,424
890,480
900,400
909,513
919,381
928,461
937,466
947,433
956,558
965,414
974,509
985,450
994,471
1003,563
1013,589
1024,556
1034,527
1044,505
1055,489
1065,476
1076,465
1086,516
1096,576
1106,603
1118,621
1128,633
1138,594
1148,566
1159,543
1169,526
1179,510
1190,577
1201,611
1211,631
1221,643
1231,651
1242,643
1253,603
1263,577
1273,555
1284,537
1294,596
1304,625
1315,642
1326,651
1336,657
1346,662
1356,616
1367,585
1377,560
1388,538
1398,580
1409,615
1419,632
1429,642
1439,649
1451,650
1461,600
1471,568
1481,541
1491,519
1502,499
1512,568
1523,598
1533,615
1544,626
1554,603
1564,559
1574,527
1586,501
1596,478
1606,457
1616,447
1627,529
1637,568
1648,587
1658,543
1669,502
1679,471
1689,447
1699,425
1710,406
1721,388
1731,415
1741,502
1752,541
1762,483
1772,447
1783,421
1794,400
1804,384
1814,367
1824,354
1835,343
1846,462
1856,515
1866,466
1876,436
1887,416
1897,399
1907,386
1918,373
1929,364
1939,356
1949,472
1959,527
1970,519
1981,484
1991,461
2001,446
2012,433
2022,423
2032,413
2042,433
2054,531
2064,570
2074,594
2084,563
2095,533
2105,512
2116,495
2126,482
2137,469
2147,528
2157,581
2167,607
2178,624
2189,636
2199,599
2209,569
2220,546
2230,529
2240,513
2251,583
2262,615
2272,633
2282,645
2292,653
2302,648
2314,604
2324,576
2334,556
2344,537
2355,596
2365,626
2375,641
2386,651
2397,657
2407,662
2417,615
2427,583
2438,557
2449,536
2459,574
2469,611
2480,629
2490,640
2500,647
2510,646
2522,594
2532,562
2542,537
2552,514
2563,493
2573,559
2584,593
2594,611
2605,622
2615,592
2625,551
2635,520
2647,494
2657,470
2667,449
2677,432
2688,523
2698,560
2708,582
2719,534
2729,495
2740,464
2750,439
2760,417
2770,399
2782,382
2792,410
2802,498
2812,535
2823,476
2833,442
2843,417
2854,396
2865,379
2875,365
2885,352
2895,341
2906,462
2917,515
2927,468
2937,439
2948,418
2958,401
2968,389
2979,378
2990,368
3000,362
3010,484
3020,533
3031,529
3041,494
3052,470
3062,455
3073,442
3083,431
3093,421
3103,453
3115,539
3125,577
3135,599
3145,573
3155,541
3166,520
3176,503
3187,488
3197,476
3208,542
3218,588
3228,613
3238,629
3250,640
3260,605
3270,574
3280,551
3291,533
3301,517
3312,588
3322,620
3333,636
3343,647
3353,654
3363,653
3374,608
3385,578
3395,557
3405,538
3416,600
3426,627
3436,641
3447,650
3458,657
3468,661
3478,612
3488,580
3499,555
3509,535
3520,572
3530,608
3540,627
3551,638
3561,646
3571,637
3582,589
3593,558
3603,532
3613,509
3623,488
3634,549
3645,586
3655,607
3665,619
3676,586
3686,545
3696,514
3706,488
3718,464
3728,445
3738,426
3748,510
3759,552
3769,577
3780,523
3790,486
3801,456
3811,431
3821,410
3831,391
3842,376
3853,405
3863,492
3873,532
3884,473
3894,439
3904,414
3915,394
3926,378
3936,364
3946,352
3956,340
3966,461
3978,516
3988,468
3998,442
4008,422
4019,406
4029,394
4039,383
4050,373
4061,367
4071,490
4081,539
4091,541
4102,503
4113,480
4123,463
4133,450
4144,438
4154,429
4164,470
4174,547
4186,584
4196,604
4206,582
4216,550
4227,527
4237,510
4248,494
4258,481
4269,548
4279,594
4289,618
4299,632
4311,642
4321,609
4331,579
4341,556
4352,537
4362,521
4372,592
4383,623
4393,638
4404,648
4414,656
4424,655
4434,608
4446,579
4456,556
4466,537
4476,600
4487,626
4497,641
4507,650
4518,656
4529,661
4539,608
4549,579
4559,553
4570,532
4581,567
4591,605
4601,624
4612,635
4622,643
4632,632
4643,584
4654,550
4664,526
4674,502
4684,483
4695,539
4705,581
4716,603
4726,614
4737,578
4747,537
4757,506
4767,480
4779,456
4789,437
4799,418
4809,500
4819,547
4830,571
4840,514
4851,477
4861,449
4872,424
4882,404
4892,386
4902,370
4914,393
4924,485
4934,519
4944,467
4955,434
4965,411
4976,392
4986,376
4997,363
5007,351
5017,342
5027,463
5038,518
5049,475
5059,446
5069,427
5080,412
5090,399
5100,389
5111,379
5122,373
5132,498
5142,547
5152,552
5163,513
5173,489
5184,470
5194,458
5204,445
5215,436
5225,490
5235,557
5246,589
5257,608
5267,594
5277,560
5287,535
5298,517
5309,501
5319,488
5329,561
5340,600
5350,621
5360,635
5370,645
5382,617
5392,585
5402,560
5412,541
5423,524
5433,596
5444,624
5454,639
5465,649
5475,657
5485,653
5495,609
5507,578
5517,554
5527,537
5537,597
5548,626
5558,640
5568,650
5579,656
5590,660
5600,607
5610,576
5620,551
5630,530
5642,557
5652,602
5662,620
5672,632
5683,640
5693,623
5703,580
5714,547
5725,521
5735,498
5745,478
5755,530
5766,574
5777,597
5787,609
5797,571
5808,529
5818,499
5828,472
5838,450
5850,430
5860,410
5870,487
5880,539
5891,566
5901,505
5912,468
5922,442
5933,417
5943,398
5953,380
5963,365
5975,378
5985,484
5995,517
6005,463
6016,432
6026,411
6036,391
6047,376
6057,362
6068,352
6078,343
6088,469
6098,521
6110,480
6120,452
6130,433
6140,418
6151,406
6161,395
6171,386
6182,404
6193,506
6203,552
6213,565
6223,521
6234,496
6245,478
6255,465
6265,452
6276,442
6286,504
6296,565
6307,594
6318,613
6328,603
6338,567
6348,542
6359,524
6369,508
6380,492
6390,568
6401,606
6411,625
6421,638
6431,647
6443,621
6453,589
6463,563
6473,543
6483,527
6494,600
6504,627
6515,641
6525,651
6536,657
6546,653
6556,608
6566,579
6578,557
6588,537
6598,596
6608,625
6619,639
6629,648
6640,655
6650,648
6661,605
6671,573
6681,548
6691,526
6702,544
6713,597
6723,616
6733,629
6744,638
6754,616
6764,573
6775,542
6786,516
6796,491
6806,471
6816,518
6827,565
6837,590
6848,605
6858,560
6868,522
6879,490
6889,465
6899,443
6910,422
6921,404
6931,479
6941,533
6951,554
6962,495
6973,462
6983,434
6993,411
7004,392
7014,376
7024,361
7034,362
7046,480
7056,516
7066,461
7076,430
7087,409
7097,390
7108,377
7118,364
7129,354
7139,344
7149,474
7159,525
7170,487
7181,457
7191,438
7201,423
7212,412
7222,401
7232,392
7243,414
7254,515
7264,558
7274,576
7284,531
7294,505
7306,486
7316,471
7326,460
7336,449
7347,517
7357,571
7367,598
7378,617
7389,616
7399,574
7409,549
7419,529
7430,512
7441,497
7451,575
7461,610
7472,629
7482,641
7492,650
7502,626
7514,591
7524,567
7534,546
7544,529
7555,601
7565,628
7576,642
7586,651
7597,658
7607,651
7617,608
7627,581
7639,556
7649,535
7659,594
7669,624
7680,639
7690,647
7700,653
7711,644
7721,599
7732,568
7742,544
7752,522
7762,534
7774,590
7784,611
7794,625
7804,635
7815,609
7825,567
7836,534
7846,508
7857,485
7867,465
7877,501
7887,556
7898,583
7909,600
7919,550
7929,513
7940,482
7950,457
7960,434
7971,415
7982,397
7992,468
8002,526
8012,548
8023,488
8033,453
8044,427
8054,405
8065,386
8075,370
8085,356
8095,362
8107,476
8117,515
8127,458
8137,430
8147,408
8158,392
8168,377
8179,365
8189,357
8200,348
8210,478
8220,528
8230,496
8242,465
8252,445
8262,430
8272,419
8283,408
8293,400
8304,440
8314,529
8325,565
8335,589
8345,540
8355,514
8366,494
8377,479
8387,467
8397,457
8408,526
8418,577
8428,604
8439,621
8450,623
8460,582
8470,556
8480,534
8491,518
8501,503
8512,581
8522,614
8532,632
8543,644
8553,652
8563,630
8574,594
8585,569
8595,548
8605,531
8615,604
8626,629
8637,643
8647,652
8657,658
8668,651
8678,609
8688,580
8698,556
8710,535
8720,593
8730,621
8740,636
8751,646
8761,652
8772,641
8782,595
8793,564
8803,539
8813,518
8823,520
8834,583
8845,608
8855,622
8865,632
8876,600
8886,559
8896,528
8907,499
8918,479
8928,459
8938,486
8948,549
8958,578
8970,595
8980,540
8990,502
9000,474
9011,448
9021,427
9031,407
9042,389
9053,456
9063,518
9073,532
9083,480
9094,446
9105,421
9115,400
9125,382
9136,366
9146,353
9156,360
9166,475
9178,504
9188,458
9198,429
9208,410
9219,394
9229,381
9240,368
9250,359
9261,365
9271,485
9281,534
9291,504
9303,474
9313,453
9323,438
9333,426
9344,416
9354,407
9364,449
9375,532
9385,571
9396,593
9406,548
9416,521
9426,501
9438,487
9448,475
9458,463
9468,534
9479,584
9489,609
9499,625
9510,631
9521,589
9531,560
9541,539
9551,522
9562,507
9573,589
9583,618
9593,634
9604,645
9614,654
9624,632
9635,597
9646,571
9656,551
9666,542
9676,605
9687,629
9697,643
9708,652
9718,658
9729,652
9739,608
9749,579
9759,555
9771,533
9781,589
9791,618
9801,634
9811,644
9822,650
9833,635
9843,591
9853,560
9864,536
9874,513
9884,507
9894,577
9906,603
9916,618
9926,628
9936,593
9947,549
9957,521
9968,494
9978,472
9989,452
9999,469
10009,538
10020,466
10032,580
10044,421
10055,482
10066,523
10078,428
10089,513
10101,387
10113,441
10124,513
10135,393
10146,466
10158,360
10170,406
10181,511
10192,370
10204,437
10215,342
10226,391
10238,506
10250,362
10261,427
10272,407
10284,391
10295,497
10307,367
10318,438
10330,478
10341,406
10352,510
10363,384
10376,457
10387,529
10398,429
10409,536
10421,409
10433,481
10444,573
10456,453
10467,559
10478,522
10489,506
10502,603
10513,476
10524,579
10535,576
10547,528
10558,626
10570,494
10582,594
10593,610
10604,540
10615,642
10627,558
10639,600
10650,631
10661,547
10673,654
10684,600
10695,600
10707,644
10719,548
10730,660
10741,618
10753,590
10765,650
10776,540
10787,661
10799,624
10810,576
10821,650
10833,527
10845,629
10856,623
10867,556
10878,646
10890,522
10902,594
10913,615
10925,530
10936,638
10947,513
10958,558
